iter	RMSE
259	2.238020155
260	2.237444771
261	2.236795089
262	2.23644335
263	2.236159246
264	2.235889956
265	2.235641586
266	2.235147475
267	2.234732714
268	2.234279202
269	2.234001823
270	2.233675026
271	2.233503769
272	2.233147997
273	2.232774118
274	2.232515598
275	2.232515184
276	2.232189082
277	2.232050771
278	2.231734418
279	2.231471908
280	2.231100667
281	2.230586552
282	2.230004834
283	2.229891633
284	2.229264418
285	2.228952587
286	2.228723411
287	2.22830953
288	2.227925154
289	2.227546928
290	2.227156246
291	2.227015174
292	2.226584379
293	2.22639497
294	2.2262235
295	2.225835917
296	2.225351661
297	2.225170452
298	2.224702617
299	2.224404927
300	2.22421479
301	2.223937209
302	2.223659479
303	2.223052539
304	2.222725041
305	2.222580137
306	2.222102847
307	2.221722183
308	2.221388474
309	2.221039937
310	2.220637216
311	2.220343399
312	2.220038649
313	2.219852909
314	2.219428905
315	2.218828286
316	2.218033136
317	2.217746249
318	2.217381675
319	2.216778478
320	2.216467785
321	2.215878889
322	2.215590929
323	2.215147437
324	2.214788147
325	2.21455219
326	2.21403698
327	2.213764432
328	2.21357939
329	2.213270183
330	2.213054904
331	2.212299414
332	2.211968551
333	2.211762173
334	2.211319016
335	2.210737068
336	2.210385294
337	2.20997645
338	2.209703261
339	2.209377487
340	2.209147328
341	2.208921924
342	2.20852003
343	2.208191878
344	2.207936917
345	2.20769267
346	2.207220748
347	2.206615474
348	2.206444075
349	2.206274673
350	2.205894998
351	2.205492369
352	2.205134622
353	2.204993455
354	2.204457101
355	2.204001943
356	2.203606288
357	2.203322177
358	2.203136779
359	2.202753776
360	2.202486585
361	2.202093375
362	2.201972751
363	2.201899588
364	2.201775355
365	2.201331184
366	2.201011111
367	2.200652061
368	2.200178915
369	2.199898008
370	2.199485142
371	2.199309043
372	2.199232915
373	2.199104409
374	2.198753176
375	2.198365613
376	2.198091015
377	2.197640598
378	2.197229244
379	2.196838779
380	2.196543938
381	2.19630754
382	2.195933359
383	2.1953145
384	2.194955112
385	2.194561951
386	2.194246895
387	2.194013637
388	2.193931464
389	2.19366894
390	2.193465165
391	2.193013529
392	2.192627244
393	2.192520668
394	2.192407033
395	2.192105459
396	2.191700024
397	2.191364054
398	2.191031763
399	2.190972378
